REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,YEAR,MONTH
AU,IX,2008-01,100.5528,2008,1
AU,IX,2008-02,99.76036,2008,2
AU,IX,2008-03,99.06525,2008,3
AU,IX,2008-04,98.67537,2008,4
AU,IX,2008-05,98.48993,2008,5
AU,IX,2008-06,98.27106,2008,6
AU,IX,2008-07,98.15668,2008,7
AU,IX,2008-08,98.33358,2008,8
AU,IX,2008-09,98.49698,2008,9
AU,IX,2008-10,98.43759,2008,10
AU,IX,2008-11,98.5332,2008,11
AU,IX,2008-12,98.71648,2008,12
AU,IX,2009-01,98.7069,2009,1
AU,IX,2009-02,98.59149,2009,2
AU,IX,2009-03,98.61607,2009,3
AU,IX,2009-04,98.86414,2009,4
AU,IX,2009-05,99.23218,2009,5
AU,IX,2009-06,99.94576,2009,6
AU,IX,2009-07,100.7549,2009,7
AU,IX,2009-08,101.421,2009,8
AU,IX,2009-09,101.8902,2009,9
AU,IX,2009-10,102.0642,2009,10
AU,IX,2009-11,101.9853,2009,11
AU,IX,2009-12,101.8811,2009,12
AU,IX,2010-01,101.9161,2010,1
AU,IX,2010-02,101.859,2010,2
AU,IX,2010-03,101.7025,2010,3
AU,IX,2010-04,101.3936,2010,4
AU,IX,2010-05,100.9892,2010,5
AU,IX,2010-06,100.8565,2010,6
AU,IX,2010-07,101.2041,2010,7
AU,IX,2010-08,101.5595,2010,8
AU,IX,2010-09,101.6225,2010,9
AU,IX,2010-10,101.5646,2010,10
AU,IX,2010-11,101.311,2010,11
AU,IX,2010-12,101.0352,2010,12
AU,IX,2011-01,100.7575,2011,1
AU,IX,2011-02,100.6212,2011,2
AU,IX,2011-03,100.5148,2011,3
AU,IX,2011-04,100.4274,2011,4
AU,IX,2011-05,100.2265,2011,5
AU,IX,2011-06,99.85587,2011,6
AU,IX,2011-07,99.42627,2011,7
AU,IX,2011-08,99.25911,2011,8
AU,IX,2011-09,99.44271,2011,9
AU,IX,2011-10,99.67202,2011,10
AU,IX,2011-11,99.82906,2011,11
AU,IX,2011-12,99.75363,2011,12
AU,IX,2012-01,99.7412,2012,1
AU,IX,2012-02,99.74509,2012,2
AU,IX,2012-03,99.60722,2012,3
AU,IX,2012-04,99.49084,2012,4
AU,IX,2012-05,99.47261,2012,5
AU,IX,2012-06,99.54984,2012,6
AU,IX,2012-07,99.65871,2012,7
AU,IX,2012-08,99.70625,2012,8
AU,IX,2012-09,99.78886,2012,9
AU,IX,2012-10,99.92648,2012,10
AU,IX,2012-11,100.0891,2012,11
AU,IX,2012-12,100.1685,2012,12
AU,IX,2013-01,100.361,2013,1
AU,IX,2013-02,100.6518,2013,2
AU,IX,2013-03,100.7312,2013,3
AU,IX,2013-04,100.4686,2013,4
AU,IX,2013-05,100.1599,2013,5
AU,IX,2013-06,100.1355,2013,6
AU,IX,2013-07,100.3047,2013,7
AU,IX,2013-08,100.6171,2013,8
AU,IX,2013-09,100.8928,2013,9
AU,IX,2013-10,100.9473,2013,10
AU,IX,2013-11,100.861,2013,11
AU,IX,2013-12,100.5975,2013,12
AU,IX,2014-01,100.308,2014,1
AU,IX,2014-02,100.0497,2014,2
AU,IX,2014-03,99.85614,2014,3
AU,IX,2014-04,99.66843,2014,4
AU,IX,2014-05,99.41969,2014,5
AU,IX,2014-06,99.3319,2014,6
AU,IX,2014-07,99.40047,2014,7
AU,IX,2014-08,99.48215,2014,8
AU,IX,2014-09,99.44466,2014,9
AU,IX,2014-10,99.41257,2014,10
AU,IX,2014-11,99.36806,2014,11
AU,IX,2014-12,99.29231,2014,12
AU,IX,2015-01,99.42818,2015,1
AU,IX,2015-02,99.70112,2015,2
AU,IX,2015-03,99.80158,2015,3
AU,IX,2015-04,99.78532,2015,4
AU,IX,2015-05,99.75459,2015,5
AU,IX,2015-06,99.54699,2015,6
AU,IX,2015-07,99.42107,2015,7
AU,IX,2015-08,99.49992,2015,8
AU,IX,2015-09,99.56956,2015,9
AU,IX,2015-10,99.76421,2015,10
AU,IX,2015-11,99.95086,2015,11
AU,IX,2015-12,99.97124,2015,12
AU,IX,2016-01,99.89177,2016,1
AU,IX,2016-02,99.87408,2016,2
AU,IX,2016-03,99.81779,2016,3
AU,IX,2016-04,99.81487,2016,4
AU,IX,2016-05,99.98759,2016,5
AU,IX,2016-06,100.0549,2016,6
AU,IX,2016-07,100.0327,2016,7
AU,IX,2016-08,100.0579,2016,8
AU,IX,2016-09,100.0825,2016,9
AU,IX,2016-10,100.0672,2016,10
AU,IX,2016-11,99.95663,2016,11
AU,IX,2016-12,99.80382,2016,12
AU,IX,2017-01,99.77152,2017,1
AU,IX,2017-02,99.84851,2017,2
AU,IX,2017-03,99.88184,2017,3
AU,IX,2017-04,99.82729,2017,4
AU,IX,2017-05,99.71607,2017,5
AU,IX,2017-06,99.6002,2017,6
AU,IX,2017-07,99.55461,2017,7
AU,IX,2017-08,99.57462,2017,8
AU,IX,2017-09,99.73077,2017,9
AU,IX,2017-10,99.93047,2017,10
AU,IX,2017-11,100.0893,2017,11
AU,IX,2017-12,100.2589,2017,12
AU,IX,2018-01,100.3586,2018,1
AU,IX,2018-02,100.3338,2018,2
AU,IX,2018-03,100.2743,2018,3
AU,IX,2018-04,100.2206,2018,4
AU,IX,2018-05,100.2239,2018,5
AU,IX,2018-06,100.29,2018,6
AU,IX,2018-07,100.3766,2018,7
AU,IX,2018-08,100.3271,2018,8
AU,IX,2018-09,100.2202,2018,9
AU,IX,2018-10,100.2015,2018,10
AU,IX,2018-11,100.2629,2018,11
AU,IX,2018-12,100.2611,2018,12
AU,IX,2019-01,100.1838,2019,1
AU,IX,2019-02,100.1515,2019,2
AU,IX,2019-03,100.0582,2019,3
AU,IX,2019-04,100.0402,2019,4
AU,IX,2019-05,100.0239,2019,5
AU,IX,2019-06,99.96159,2019,6
AU,IX,2019-07,99.84833,2019,7
AU,IX,2019-08,99.78389,2019,8
AU,IX,2019-09,99.64952,2019,9
AU,IX,2019-10,99.49986,2019,10
AU,IX,2019-11,99.47897,2019,11
AU,IX,2019-12,99.4242,2019,12
AU,IX,2020-01,99.32379,2020,1
AU,IX,2020-02,99.15323,2020,2
AU,IX,2020-03,98.75742,2020,3
AU,IX,2020-04,98.34866,2020,4
AU,IX,2020-05,98.4659,2020,5
AU,IX,2020-06,98.63697,2020,6
AU,IX,2020-07,98.57126,2020,7
AU,IX,2020-08,98.64352,2020,8
AU,IX,2020-09,99.30466,2020,9
AU,IX,2020-10,100.1363,2020,10
AU,IX,2020-11,100.7176,2020,11
AU,IX,2020-12,100.9948,2020,12
AU,IX,2021-01,101.0265,2021,1
AU,IX,2021-02,101.144,2021,2
AU,IX,2021-03,101.3734,2021,3
AU,IX,2021-04,101.5361,2021,4
AU,IX,2021-05,101.3476,2021,5
AU,IX,2021-06,101.0184,2021,6
AU,IX,2021-07,100.7874,2021,7
AU,IX,2021-08,100.5966,2021,8
AU,IX,2021-09,100.5403,2021,9
AU,IX,2021-10,100.5101,2021,10
AU,IX,2021-11,100.4694,2021,11
AU,IX,2021-12,100.3746,2021,12
AU,IX,2022-01,100.2157,2022,1
AU,IX,2022-02,100.0021,2022,2
AU,IX,2022-03,99.70311,2022,3
AU,IX,2022-04,99.35213,2022,4
AU,IX,2022-05,98.90939,2022,5
AU,IX,2022-06,98.5036,2022,6
AU,IX,2022-07,98.21982,2022,7
AU,IX,2022-08,98.0686,2022,8
AU,IX,2022-09,98.0515,2022,9
AU,IX,2022-10,97.98486,2022,10
AU,IX,2022-11,97.84429,2022,11
AU,IX,2022-12,97.83141,2022,12
AU,IX,2023-01,97.85938,2023,1
AU,IX,2023-02,97.7842,2023,2
